epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7992,1.49909,2.76775,1.92033,0.00333,1,0.31917,0.08156,0.89801,3.35104,1.54928,2e-05,2e-05,2e-05
2,36.6205,1.21552,2.56296,1.6503,0.00333,1,0.55819,0.1658,0.75455,3.27567,1.43924,5.8812e-05,5.8812e-05,5.8812e-05
3,54.2632,1.20408,2.48273,1.61516,0.00333,1,0.65514,0.31987,0.70473,3.23439,1.40974,9.604e-05,9.604e-05,9.604e-05
4,70.0626,0.86477,2.30793,1.42456,0.00333,1,0.70386,0.48641,0.68396,3.19692,1.37495,0.000131684,0.000131684,0.000131684
5,85.972,0.82189,1.97959,1.44602,0.00333,1,0.74414,0.58308,0.63582,3.14997,1.35656,0.000165744,0.000165744,0.000165744
6,101.793,0.87261,1.70604,1.40634,0.00333,1,0.80522,0.66216,0.58486,3.05354,1.31814,0.00019822,0.00019822,0.00019822
7,117.6,0.96462,1.60045,1.46097,0.00333,1,0.8845,0.62054,0.65932,3.03202,1.38378,0.000229112,0.000229112,0.000229112
8,133.31,0.75622,1.38831,1.32092,0.00333,1,0.93137,0.6965,0.6918,3.07239,1.41603,0.00025842,0.00025842,0.00025842
9,149.268,0.88755,1.38228,1.32547,0.00333,1,0.8677,0.6424,0.71178,3.11149,1.43783,0.000286144,0.000286144,0.000286144
10,165.562,0.90012,1.35359,1.39935,0.00333,1,0.92125,0.69422,0.70246,3.11505,1.41613,0.000312284,0.000312284,0.000312284
11,181.824,0.81191,1.18696,1.27301,0.00333,1,0.87522,0.63616,0.70068,3.10309,1.41804,0.00033684,0.00033684,0.00033684
12,198.891,0.70352,1.22144,1.2524,0.00333,1,0.97252,0.72228,0.66988,3.00238,1.35989,0.000359812,0.000359812,0.000359812
13,221.142,0.8912,1.38999,1.39014,0.22685,1,0.98789,0.76618,0.6088,3.00168,1.26822,0.0003812,0.0003812,0.0003812
14,240.809,0.73974,1.04756,1.23694,1,0.33901,0.98269,0.77729,0.67566,2.91399,1.34082,0.000401004,0.000401004,0.000401004
15,260.094,0.70012,1.0794,1.23774,0.94841,0.34783,0.92336,0.69664,0.80159,2.85162,1.51513,0.000419224,0.000419224,0.000419224
16,278.72,0.70565,0.96405,1.17927,0.86653,0.65217,0.89817,0.63905,0.86372,2.7913,1.65339,0.00043586,0.00043586,0.00043586
17,298.036,0.73437,0.97717,1.15817,0.97259,0.69565,0.90943,0.66143,0.86298,2.70345,1.73043,0.000450912,0.000450912,0.000450912
18,317.123,0.74422,1.03195,1.26927,1,0.74841,0.93117,0.70516,0.88129,2.70759,1.73728,0.00046438,0.00046438,0.00046438
19,335.812,0.74952,0.99898,1.31313,0.94523,0.73913,0.94698,0.65413,0.9754,2.69577,1.79231,0.000476264,0.000476264,0.000476264
20,354.505,0.68471,1.00556,1.23428,0.86391,0.8281,0.96092,0.62596,0.94839,2.66105,1.7308,0.000486564,0.000486564,0.000486564
21,373.568,0.75256,0.96409,1.25683,0.91089,0.86957,0.9519,0.5342,1.07621,2.66681,1.91802,0.00049528,0.00049528,0.00049528
